state,district,event_summary,location,timestamp,source_url
Meghalaya,East Garo Hills,Market vendors protest against price control measures,Williamnagar,2026-01-28 10:00:00,
Meghalaya,West Garo Hills,Border area patrol reports minor incursion attempt foiled,Tura sector,2026-01-29 16:30:00,
Meghalaya,North Garo Hills,Student union calls 12-hour bandh demanding better infrastructure,Resubelpara,2026-01-25 06:00:00,
Meghalaya,South Garo Hills,Community dialogue held to resolve land dispute peacefully,Baghmara,2026-01-30 14:00:00,
Meghalaya,South West Garo Hills,Heavy rainfall warning issued for next 48 hours,Ampati,2026-02-01 08:00:00,
Meghalaya,East Khasi Hills,Traffic congestion reported due to festival preparations,Shillong city,2026-01-31 11:00:00,
Meghalaya,West Khasi Hills,Agricultural cooperative meets to discuss crop insurance,Nongstoin,2026-01-27 15:00:00,
Meghalaya,South West Khasi Hills,Minor road blockade by transporters over toll rates,Mawkyrwat,2026-01-26 09:00:00,
Meghalaya,Eastern West Khasi Hills,Health camp organized for remote villages,Mairang,2026-01-29 10:30:00,
Meghalaya,Ri-Bhoi,Highway maintenance work causes traffic diversions,Nongpoh,2026-01-28 07:00:00,
Meghalaya,East Jaintia Hills,Mining dispute resolved through arbitration,Khliehriat,2026-01-25 13:00:00,
Meghalaya,West Jaintia Hills,Festival celebration proceeds peacefully with police presence,Jowai,2026-01-30 17:00:00,
Assam,Baksa,Flood alert issued as river levels rise,Mushalpur,2026-01-28 06:00:00,
Assam,Bajali,Agricultural market sees price surge in vegetables,Patacharkuchi,2026-01-29 09:00:00,
Assam,Barpeta,Religious procession conducted with adequate security,Barpeta town,2026-01-30 15:00:00,
Assam,Bongaigaon,Railway workers union stages peaceful dharna,Bongaigaon junction,2026-01-27 08:00:00,
Assam,Chirang,Wildlife conservation awareness program held,Bijni,2026-01-26 11:00:00,
Assam,Dhubri,Border trade checkpoint reports increased activity,Dhubri border,2026-01-31 14:00:00,
Assam,Goalpara,School teachers protest delayed salary payments,Goalpara town,2026-01-28 10:00:00,
Assam,Kamrup,Traffic police conduct vehicle safety inspection drive,Rangia,2026-01-29 12:00:00,
Assam,Kamrup Metropolitan,IT sector employees rally for better working conditions,Guwahati Rajgarh,2026-01-30 18:00:00,
Assam,Kokrajhar,Ethnic reconciliation meeting held successfully,Kokrajhar,2026-01-25 16:00:00,
Assam,Nalbari,Farmers cooperative discusses kharif crop planning,Nalbari,2026-01-27 10:00:00,
Assam,South Salmara-Mankachar,Erosion control measures discussed in public meeting,Mankachar,2026-01-28 14:00:00,
Assam,Tamulpur,Health department launches vaccination drive,Tamulpur,2026-01-29 09:00:00,
Assam,Biswanath,Traditional festival celebrated with community participation,Biswanath Chariali,2026-01-30 11:00:00,
Assam,Darrang,Tea garden workers negotiate wage increase,Mangaldoi,2026-01-26 13:00:00,
Assam,Sonitpur,Wildlife corridor monitoring intensified,Tezpur outskirts,2026-01-31 07:00:00,
Assam,Udalguri,Tribal welfare program receives positive response,Udalguri,2026-01-28 15:00:00,
Assam,Charaideo,Historical monument restoration work begins,Charaideo,2026-01-27 10:00:00,
Assam,Dhemaji,River island residents request better connectivity,Dhemaji,2026-01-29 11:00:00,
Assam,Dibrugarh,Oil refinery workers association meets management,Dibrugarh,2026-01-30 14:00:00,
Assam,Golaghat,Kaziranga wildlife monitoring reports normal activity,Golaghat,2026-01-25 08:00:00,
Assam,Jorhat,Tea auction sees steady prices this week,Jorhat,2026-01-28 12:00:00,
Assam,Lakhimpur,Brahmaputra ferry service suspended due to fog,Lakhimpur,2026-01-31 06:00:00,
Assam,Majuli,Cultural festival attracts tourists to river island,Majuli,2026-01-29 16:00:00,
Assam,Sivasagar,Historical tank cleaning drive completed,Sivasagar,2026-01-27 13:00:00,
Assam,Tinsukia,Coal India workers seek safety equipment upgrades,Tinsukia,2026-01-26 10:00:00,
Assam,Dima Hasao,Hill district reports minor landslide cleared,Haflong,2026-01-30 09:00:00,
Assam,Hojai,Market vendors association discusses hygiene standards,Hojai,2026-01-28 11:00:00,
Assam,Morigaon,Boat accident averted by timely rescue operation,Morigaon,2026-01-29 15:00:00,
Assam,Nagaon,District sports meet concludes successfully,Nagaon,2026-01-31 17:00:00,
Assam,Karbi Anglong,Autonomous council meeting addresses development issues,Diphu,2026-01-27 14:00:00,
Assam,West Karbi Anglong,Forest department conducts anti-poaching patrol,Hamren,2026-01-26 07:00:00,
Assam,Cachar,Barak valley cultural program held peacefully,Silchar,2026-01-30 18:00:00,
Assam,Hailakandi,Border area residents report improved infrastructure,Hailakandi,2026-01-28 13:00:00,
Assam,Karimganj,Trade union strike called off after negotiations,Karimganj,2026-01-29 16:00:00,
Arunachal Pradesh,Anjaw,Border pilgrimage route maintenance completed,Hayuliang,2026-01-27 10:00:00,
Arunachal Pradesh,Changlang,Tribal council meeting discusses land rights,Changlang,2026-01-28 14:00:00,
Arunachal Pradesh,Dibang Valley,High altitude rescue team conducts drill,Anini,2026-01-29 09:00:00,
Arunachal Pradesh,East Kameng,Hydropower project workers seek safety measures,Seppa,2026-01-30 11:00:00,
Arunachal Pradesh,East Siang,Bridge construction work progressing on schedule,Pasighat,2026-01-26 13:00:00,
Arunachal Pradesh,Kamle,Traditional festival celebrated in remote villages,Raga,2026-01-31 15:00:00,
Arunachal Pradesh,Kra Daadi,Healthcare outreach program reaches nomadic communities,Jamin,2026-01-28 10:00:00,
Arunachal Pradesh,Kurung Kumey,Wildlife conservation awareness drive held,Koloriang,2026-01-27 12:00:00,
Arunachal Pradesh,Lepa-Rada,Road connectivity project review meeting held,Basar,2026-01-29 14:00:00,
Arunachal Pradesh,Lohit,Border area residents welcome improved facilities,Tezu,2026-01-30 16:00:00,
Arunachal Pradesh,Longding,Tribal welfare program distributes benefits,Longding,2026-01-25 11:00:00,
Arunachal Pradesh,Lower Dibang Valley,River monitoring station reports normal levels,Roing,2026-01-28 08:00:00,
Arunachal Pradesh,Lower Siang,Agricultural extension program meets farmers,Likabali,2026-01-31 10:00:00,
Arunachal Pradesh,Lower Subansiri,Cultural exchange program with neighboring district,Ziro,2026-01-27 15:00:00,
Arunachal Pradesh,Namsai,Buddhist monastery festival attracts pilgrims,Namsai,2026-01-29 17:00:00,
Arunachal Pradesh,Pakke-Kessang,Wildlife sanctuary patrol reports no incidents,Seijosa,2026-01-26 09:00:00,
Arunachal Pradesh,Papum Pare,State capital sees peaceful political rally,Itanagar,2026-01-30 12:00:00,
Arunachal Pradesh,Shi Yomi,Remote area connectivity improved with new towers,Tato,2026-01-28 13:00:00,
Arunachal Pradesh,Siang,River rafting tourism season begins safely,Boleng,2026-01-31 11:00:00,
Arunachal Pradesh,Tawang,Monastery hosts interfaith dialogue,Tawang,2026-01-27 16:00:00,
Arunachal Pradesh,Tirap,Tribal handicrafts exhibition draws visitors,Khonsa,2026-01-29 13:00:00,
Arunachal Pradesh,Upper Dibang Valley,High altitude weather station operational,Anini valley,2026-01-26 08:00:00,
Arunachal Pradesh,Upper Siang,Dam safety inspection completed successfully,Yingkiong,2026-01-30 14:00:00,
Arunachal Pradesh,Upper Subansiri,Hydroelectric project EIA public hearing held,Daporijo,2026-01-28 15:00:00,
Arunachal Pradesh,West Kameng,Orchid research center opens to public,Bomdila,2026-01-31 10:00:00,
Arunachal Pradesh,West Siang,Along township celebrates foundation day,Along,2026-01-27 17:00:00,
Manipur,Bishnupur,Traditional boat race festival conducted peacefully,Bishnupur,2026-01-28 11:00:00,
Manipur,Chandel,Border village development program launched,Chandel,2026-01-29 10:00:00,
Manipur,Churachandpur,Community leaders meet to promote harmony,Churachandpur,2026-01-30 14:00:00,
Manipur,Imphal East,City marathon event attracts large participation,Imphal East,2026-01-26 07:00:00,
Manipur,Imphal West,State assembly session proceeds smoothly,Imphal,2026-01-31 12:00:00,
Manipur,Jiribam,Railway connectivity improvement work begins,Jiribam,2026-01-27 09:00:00,
Manipur,Kakching,Agricultural fair showcases organic farming,Kakching,2026-01-28 10:00:00,
Manipur,Kamjong,Hill area road repair work completed,Kamjong,2026-01-29 13:00:00,
Manipur,Kangpokpi,Traditional sports festival held successfully,Kangpokpi,2026-01-30 15:00:00,
Manipur,Noney,Forest fire prevention awareness campaign,Noney,2026-01-25 11:00:00,
Manipur,Pherzawl,Health workers complete vaccination drive,Pherzawl,2026-01-28 09:00:00,
Manipur,Senapati,Youth skill development program inaugurated,Senapati,2026-01-31 14:00:00,
Manipur,Tamenglong,Wildlife sanctuary monitoring shows positive results,Tamenglong,2026-01-27 10:00:00,
Manipur,Tengnoupal,Border trade facilitation center operational,Moreh,2026-01-29 12:00:00,
Manipur,Thoubal,Handloom weavers cooperative meets,Thoubal,2026-01-26 13:00:00,
Manipur,Ukhrul,Hill district festival attracts cultural delegations,Ukhrul,2026-01-30 16:00:00,
Mizoram,Aizawl,State capital hosts educational conference,Aizawl,2026-01-28 10:00:00,
Mizoram,Champhai,Border village infrastructure project review,Champhai,2026-01-29 11:00:00,
Mizoram,Khawzawl,District youth festival concludes successfully,Khawzawl,2026-01-30 14:00:00,
Mizoram,Saitual,Agricultural cooperative discusses bamboo cultivation,Saitual,2026-01-27 09:00:00,
Mizoram,Kolasib,Highway patrol reports smooth traffic flow,Kolasib,2026-01-31 12:00:00,
Mizoram,Lawngtlai,Remote area mobile connectivity improved,Lawngtlai,2026-01-26 13:00:00,
Mizoram,Lunglei,District hospital expansion work ongoing,Lunglei,2026-01-28 15:00:00,
Mizoram,Mamit,Border area residents welcome new facilities,Mamit,2026-01-29 10:00:00,
Mizoram,Serchhip,Traditional music festival held peacefully,Serchhip,2026-01-30 17:00:00,
Mizoram,Saiha,Wildlife conservation meeting addresses concerns,Saiha,2026-01-25 11:00:00,
Mizoram,Hnahthial,Community forest protection drive launched,Hnahthial,2026-01-27 14:00:00,
Nagaland,Chümoukedima,Industrial area expansion plans discussed,Chümoukedima,2026-01-28 10:00:00,
Nagaland,Dimapur,Commercial hub sees steady business activity,Dimapur,2026-01-29 12:00:00,
Nagaland,Kiphire,Remote district connectivity project progressing,Kiphire,2026-01-30 09:00:00,
Nagaland,Kohima,State capital celebrates Hornbill festival legacy,Kohima,2026-01-26 15:00:00,
Nagaland,Longleng,Tribal council meeting addresses local issues,Longleng,2026-01-31 11:00:00,
Nagaland,Meluri,New district administration settling in well,Meluri,2026-01-27 13:00:00,
Nagaland,Mokokchung,Educational institutions resume after winter break,Mokokchung,2026-01-28 08:00:00,
Nagaland,Mon,Border area development program launched,Mon,2026-01-29 14:00:00,
Nagaland,Niuland,Agricultural extension program meets farmers,Niuland,2026-01-30 10:00:00,
Nagaland,Noklak,Hill district infrastructure work ongoing,Noklak,2026-01-25 12:00:00,
Nagaland,Peren,Inter-district sports meet hosted successfully,Peren,2026-01-28 16:00:00,
Nagaland,Phek,Traditional festival celebrated with enthusiasm,Phek,2026-01-31 13:00:00,
Nagaland,Shamator,Healthcare outreach program reaches villages,Shamator,2026-01-27 09:00:00,
Nagaland,Tuensang,District youth gathering promotes unity,Tuensang,2026-01-29 15:00:00,
Nagaland,Tseminyü,Agricultural fair showcases local produce,Tseminyü,2026-01-26 11:00:00,
Nagaland,Wokha,Handloom exhibition attracts buyers,Wokha,2026-01-30 14:00:00,
Nagaland,Zünheboto,Forest conservation awareness drive held,Zünheboto,2026-01-28 10:00:00,
Tripura,Dhalai,Tribal welfare program distributes benefits,Ambassa,2026-01-29 11:00:00,
Tripura,Gomati,District administration reviews development projects,Udaipur,2026-01-30 13:00:00,
Tripura,Khowai,Agricultural market sees steady prices,Khowai,2026-01-27 10:00:00,
Tripura,North Tripura,Border area security review conducted,Dharmanagar,2026-01-31 14:00:00,
Tripura,Sepahijala,Industrial park expansion plans discussed,Bishramganj,2026-01-26 12:00:00,
Tripura,South Tripura,Tourism promotion campaign launched,Belonia,2026-01-28 15:00:00,
Tripura,Unakoti,Historical site preservation work begins,Kailashahar,2026-01-29 09:00:00,
Tripura,West Tripura,State capital hosts cultural program,Agartala,2026-01-30 16:00:00,
Sikkim,East Sikkim,State capital celebrates local festival,Gangtok,2026-01-28 11:00:00,
Sikkim,North Sikkim,High altitude tourism season preparation begins,Mangan,2026-01-29 10:00:00,
Sikkim,South Sikkim,Monastery festival attracts pilgrims,Namchi,2026-01-30 14:00:00,
Sikkim,West Sikkim,Trekking route safety inspection completed,Geyzing,2026-01-27 09:00:00,
Sikkim,Pakyong,New district celebrates anniversary,Pakyong,2026-01-31 12:00:00,
Sikkim,Soreng,Hydropower project community meeting held,Soreng,2026-01-26 13:00:00
